word,source,band,tier,in_tangocho,jp
card,NGSL,1000,T1,,
care,NGSL,1000,T1,,
career,NGSL,1000,T1,,
carry,NGSL,1000,T1,,
case,NGSL,1000,T1,,
catch,NGSL,1000,T1,,
cause,NGSL,1000,T1,,
cell,NGSL,1000,T1,,
cent,NGSL,1000,T1,,
center,NGSL,1000,T1,,
central,NGSL,1000,T1,,
century,NGSL,1000,T1,,
certain,NGSL,1000,T1,,
certainly,NGSL,1000,T1,,
challenge,NGSL,1000,T1,,
chance,NGSL,1000,T1,,
change,NGSL,1000,T1,,
character,NGSL,1000,T1,,
charge,NGSL,1000,T1,,
check,NGSL,1000,T1,,
child,NGSL,1000,T1,,
choice,NGSL,1000,T1,,
choose,NGSL,1000,T1,,
church,NGSL,1000,T1,,
city,NGSL,1000,T1,,
claim,NGSL,1000,T1,,
class,NGSL,1000,T1,,
clean,NGSL,1000,T1,,
clear,NGSL,1000,T1,,
clearly,NGSL,1000,T1,,
clock,NGSL,1000,T1,,
close,NGSL,1000,T1,,
clothes,NGSL,1000,T1,,
club,NGSL,1000,T1,,
cold,NGSL,1000,T1,,
college,NGSL,1000,T1,,
color,NGSL,1000,T1,,
come,NGSL,1000,T1,,
comment,NGSL,1000,T1,,
common,NGSL,1000,T1,,
communication,NGSL,1000,T1,,
community,NGSL,1000,T1,,
company,NGSL,1000,T1,,
compare,NGSL,1000,T1,,
competition,NGSL,1000,T1,,
complete,NGSL,1000,T1,,
completely,NGSL,1000,T1,,
computer,NGSL,1000,T1,,
concern,NGSL,1000,T1,,
conclusion,NGSL,1000,T1,,
condition,NGSL,1000,T1,,
consider,NGSL,1000,T1,,
contact,NGSL,1000,T1,,
contain,NGSL,1000,T1,,
continue,NGSL,1000,T1,,
contract,NGSL,1000,T1,,
control,NGSL,1000,T1,,
conversation,NGSL,1000,T1,,
cost,NGSL,1000,T1,,
could,NGSL,1000,T1,,
country,NGSL,1000,T1,,
couple,NGSL,1000,T1,,
course,NGSL,1000,T1,,
court,NGSL,1000,T1,,
cover,NGSL,1000,T1,,
create,NGSL,1000,T1,,
credit,NGSL,1000,T1,,
cross,NGSL,1000,T1,,
culture,NGSL,1000,T1,yes,飼育、培養、培養する
current,NGSL,1000,T1,,
customer,NGSL,1000,T1,,
cut,NGSL,1000,T1,,
daily,NGSL,1000,T1,,
damage,NGSL,1000,T1,,
dance,NGSL,1000,T1,,
dark,NGSL,1000,T1,,
data,NGSL,1000,T1,,
date,NGSL,1000,T1,,
daughter,NGSL,1000,T1,,
day,NGSL,1000,T1,,
dead,NGSL,1000,T1,,
deal,NGSL,1000,T1,,
death,NGSL,1000,T1,,
debate,NGSL,1000,T1,,
decide,NGSL,1000,T1,,
decision,NGSL,1000,T1,,
deep,NGSL,1000,T1,,
define,NGSL,1000,T1,,
degree,NGSL,1000,T1,,
demand,NGSL,1000,T1,,
department,NGSL,1000,T1,,
depend,NGSL,1000,T1,,
describe,NGSL,1000,T1,,
design,NGSL,1000,T1,,
despite,NGSL,1000,T1,,
detail,NGSL,1000,T1,,
determine,NGSL,1000,T1,,
develop,NGSL,1000,T1,,
development,NGSL,1000,T1,,
die,NGSL,1000,T1,,
difference,NGSL,1000,T1,,
different,NGSL,1000,T1,,
difficult,NGSL,1000,T1,,
difficulty,NGSL,1000,T1,,
direct,NGSL,1000,T1,,
direction,NGSL,1000,T1,,
director,NGSL,1000,T1,,
discover,NGSL,1000,T1,,
discuss,NGSL,1000,T1,,
discussion,NGSL,1000,T1,,
disease,NGSL,1000,T1,,
do,NGSL,1000,T1,,
doctor,NGSL,1000,T1,,
document,NGSL,1000,T1,,
dog,NGSL,1000,T1,,
dollar,NGSL,1000,T1,,
door,NGSL,1000,T1,,
doubt,NGSL,1000,T1,,
down,NGSL,1000,T1,,
draw,NGSL,1000,T1,,
dream,NGSL,1000,T1,,
dress,NGSL,1000,T1,,
drink,NGSL,1000,T1,,
drive,NGSL,1000,T1,,
drop,NGSL,1000,T1,,
drug,NGSL,1000,T1,,
due,NGSL,1000,T1,,
during,NGSL,1000,T1,,
each,NGSL,1000,T1,,
early,NGSL,1000,T1,,
earn,NGSL,1000,T1,,
easily,NGSL,1000,T1,,
easy,NGSL,1000,T1,,
eat,NGSL,1000,T1,,
economic,NGSL,1000,T1,,
economy,NGSL,1000,T1,,
education,NGSL,1000,T1,,
effect,NGSL,1000,T1,,
effort,NGSL,1000,T1,,
either,NGSL,1000,T1,,
election,NGSL,1000,T1,,
else,NGSL,1000,T1,,
employee,NGSL,1000,T1,,
encourage,NGSL,1000,T1,,
end,NGSL,1000,T1,,
energy,NGSL,1000,T1,,
enjoy,NGSL,1000,T1,,
enough,NGSL,1000,T1,,
enter,NGSL,1000,T1,,
environment,NGSL,1000,T1,,
especially,NGSL,1000,T1,,
establish,NGSL,1000,T1,,
estimate,NGSL,1000,T1,,
even,NGSL,1000,T1,,
evening,NGSL,1000,T1,,
event,NGSL,1000,T1,,
ever,NGSL,1000,T1,,
every,NGSL,1000,T1,,
everybody,NGSL,1000,T1,,
everyone,NGSL,1000,T1,,
everything,NGSL,1000,T1,,
evidence,NGSL,1000,T1,,
exactly,NGSL,1000,T1,,
example,NGSL,1000,T1,,
except,NGSL,1000,T1,,
exercise,NGSL,1000,T1,,
exist,NGSL,1000,T1,,
expect,NGSL,1000,T1,,
experience,NGSL,1000,T1,,
explain,NGSL,1000,T1,,
express,NGSL,1000,T1,,
extend,NGSL,1000,T1,,
eye,NGSL,1000,T1,,
face,NGSL,1000,T1,,
facility,NGSL,1000,T1,,
fact,NGSL,1000,T1,,
factor,NGSL,1000,T1,,
fail,NGSL,1000,T1,,
fall,NGSL,1000,T1,,
family,NGSL,1000,T1,,
far,NGSL,1000,T1,,
fast,NGSL,1000,T1,,
father,NGSL,1000,T1,,
favorite,NGSL,1000,T1,,
fear,NGSL,1000,T1,,
feature,NGSL,1000,T1,,
feel,NGSL,1000,T1,,
female,NGSL,1000,T1,,
few,NGSL,1000,T1,,
field,NGSL,1000,T1,,
fight,NGSL,1000,T1,,
figure,NGSL,1000,T1,,
file,NGSL,1000,T1,,
fill,NGSL,1000,T1,,
film,NGSL,1000,T1,,
final,NGSL,1000,T1,,
finally,NGSL,1000,T1,,
financial,NGSL,1000,T1,,
find,NGSL,1000,T1,,
fine,NGSL,1000,T1,,
finish,NGSL,1000,T1,,
fire,NGSL,1000,T1,,
firm,NGSL,1000,T1,,
first,NGSL,1000,T1,,
fish,NGSL,1000,T1,,
fit,NGSL,1000,T1,,
fix,NGSL,1000,T1,,
floor,NGSL,1000,T1,,
fly,NGSL,1000,T1,,
focus,NGSL,1000,T1,,
follow,NGSL,1000,T1,yes,結果として起こる
food,NGSL,1000,T1,,
foot,NGSL,1000,T1,,
for,NGSL,1000,T1,,
force,NGSL,1000,T1,,
foreign,NGSL,1000,T1,,
forget,NGSL,1000,T1,,
form,NGSL,1000,T1,,
former,NGSL,1000,T1,,
forward,NGSL,1000,T1,,
free,NGSL,1000,T1,,
friend,NGSL,1000,T1,,
from,NGSL,1000,T1,,
front,NGSL,1000,T1,,
full,NGSL,1000,T1,,
fun,NGSL,1000,T1,,
function,NGSL,1000,T1,,
fund,NGSL,1000,T1,,
further,NGSL,1000,T1,,
future,NGSL,1000,T1,,
gain,NGSL,1000,T1,,
game,NGSL,1000,T1,,
garden,NGSL,1000,T1,,
general,NGSL,1000,T1,,
generally,NGSL,1000,T1,,
generation,NGSL,1000,T1,,
get,NGSL,1000,T1,,
girl,NGSL,1000,T1,,
give,NGSL,1000,T1,,
go,NGSL,1000,T1,,
goal,NGSL,1000,T1,,
good,NGSL,1000,T1,,
government,NGSL,1000,T1,,
great,NGSL,1000,T1,,
green,NGSL,1000,T1,,
ground,NGSL,1000,T1,,
group,NGSL,1000,T1,,
grow,NGSL,1000,T1,,
growth,NGSL,1000,T1,yes,はれ、腫瘍
guess,NGSL,1000,T1,,
guy,NGSL,1000,T1,,
hair,NGSL,1000,T1,,
half,NGSL,1000,T1,,
hand,NGSL,1000,T1,,
happen,NGSL,1000,T1,,
happy,NGSL,1000,T1,,
hard,NGSL,1000,T1,,
have,NGSL,1000,T1,,
he,NGSL,1000,T1,,
head,NGSL,1000,T1,,
health,NGSL,1000,T1,,
hear,NGSL,1000,T1,,
heart,NGSL,1000,T1,,
help,NGSL,1000,T1,,
here,NGSL,1000,T1,,
herself,NGSL,1000,T1,,
high,NGSL,1000,T1,,
himself,NGSL,1000,T1,,
history,NGSL,1000,T1,,
hit,NGSL,1000,T1,,
hold,NGSL,1000,T1,,
holiday,NGSL,1000,T1,,
home,NGSL,1000,T1,,
hope,NGSL,1000,T1,,
hospital,NGSL,1000,T1,,
hot,NGSL,1000,T1,,
hotel,NGSL,1000,T1,,
hour,NGSL,1000,T1,,
house,NGSL,1000,T1,,
how,NGSL,1000,T1,,
however,NGSL,1000,T1,,
huge,NGSL,1000,T1,,
human,NGSL,1000,T1,,
husband,NGSL,1000,T1,,
i,NGSL,1000,T1,,
idea,NGSL,1000,T1,,
identify,NGSL,1000,T1,,
if,NGSL,1000,T1,,
image,NGSL,1000,T1,,
imagine,NGSL,1000,T1,,
immediately,NGSL,1000,T1,,
important,NGSL,1000,T1,,
improve,NGSL,1000,T1,,
in,NGSL,1000,T1,,
include,NGSL,1000,T1,,
income,NGSL,1000,T1,,
increase,NGSL,1000,T1,,
indeed,NGSL,1000,T1,,
indicate,NGSL,1000,T1,,
individual,NGSL,1000,T1,,
industry,NGSL,1000,T1,,
influence,NGSL,1000,T1,,
information,NGSL,1000,T1,,
inside,NGSL,1000,T1,,
instance,NGSL,1000,T1,,
instead,NGSL,1000,T1,,
interest,NGSL,1000,T1,,
international,NGSL,1000,T1,,
interview,NGSL,1000,T1,,
into,NGSL,1000,T1,,
introduce,NGSL,1000,T1,,
investment,NGSL,1000,T1,,
involve,NGSL,1000,T1,,
issue,NGSL,1000,T1,,
it,NGSL,1000,T1,,
item,NGSL,1000,T1,,
itself,NGSL,1000,T1,,
job,NGSL,1000,T1,,
join,NGSL,1000,T1,,
judge,NGSL,1000,T1,,
just,NGSL,1000,T1,,
keep,NGSL,1000,T1,,
key,NGSL,1000,T1,,
kid,NGSL,1000,T1,,
kill,NGSL,1000,T1,,
kind,NGSL,1000,T1,,
know,NGSL,1000,T1,,
knowledge,NGSL,1000,T1,,
lack,NGSL,1000,T1,,
land,NGSL,1000,T1,,
language,NGSL,1000,T1,,
large,NGSL,1000,T1,,
last,NGSL,1000,T1,,
late,NGSL,1000,T1,,
laugh,NGSL,1000,T1,,
law,NGSL,1000,T1,,
lead,NGSL,1000,T1,,
leader,NGSL,1000,T1,,
learn,NGSL,1000,T1,,
least,NGSL,1000,T1,,
leave,NGSL,1000,T1,,
legal,NGSL,1000,T1,,
less,NGSL,1000,T1,,
let,NGSL,1000,T1,,
letter,NGSL,1000,T1,,
level,NGSL,1000,T1,,
lie,NGSL,1000,T1,,
life,NGSL,1000,T1,,
light,NGSL,1000,T1,,
like,NGSL,1000,T1,,
likely,NGSL,1000,T1,,
limit,NGSL,1000,T1,,
line,NGSL,1000,T1,,
link,NGSL,1000,T1,,
list,NGSL,1000,T1,,
listen,NGSL,1000,T1,,
little,NGSL,1000,T1,,
live,NGSL,1000,T1,,
local,NGSL,1000,T1,,
long,NGSL,1000,T1,,
look,NGSL,1000,T1,,
lose,NGSL,1000,T1,,
loss,NGSL,1000,T1,,
lot,NGSL,1000,T1,,
love,NGSL,1000,T1,,
low,NGSL,1000,T1,,
machine,NGSL,1000,T1,,
magazine,NGSL,1000,T1,,
main,NGSL,1000,T1,,
maintain,NGSL,1000,T1,,
major,NGSL,1000,T1,,
make,NGSL,1000,T1,,
male,NGSL,1000,T1,,
man,NGSL,1000,T1,,
manage,NGSL,1000,T1,,
management,NGSL,1000,T1,,
manager,NGSL,1000,T1,,
many,NGSL,1000,T1,,
mark,NGSL,1000,T1,,
market,NGSL,1000,T1,,
marry,NGSL,1000,T1,,
match,NGSL,1000,T1,,
material,NGSL,1000,T1,,
matter,NGSL,1000,T1,,
may,NGSL,1000,T1,,
maybe,NGSL,1000,T1,,
mean,NGSL,1000,T1,yes,取るに足りない、劣った、些細な
measure,NGSL,1000,T1,,
medium,NGSL,1000,T1,,
meet,NGSL,1000,T1,,
member,NGSL,1000,T1,,
memory,NGSL,1000,T1,,
mention,NGSL,1000,T1,,
message,NGSL,1000,T1,,
method,NGSL,1000,T1,,
middle,NGSL,1000,T1,,
might,NGSL,1000,T1,,
mile,NGSL,1000,T1,,
military,NGSL,1000,T1,,
mind,NGSL,1000,T1,,
mine,NGSL,1000,T1,,
minute,NGSL,1000,T1,,
miss,NGSL,1000,T1,,
model,NGSL,1000,T1,,
modern,NGSL,1000,T1,,
moment,NGSL,1000,T1,,
money,NGSL,1000,T1,,
month,NGSL,1000,T1,,
more,NGSL,1000,T1,,
morning,NGSL,1000,T1,,
most,NGSL,1000,T1,,
mother,NGSL,1000,T1,,
move,NGSL,1000,T1,,
movement,NGSL,1000,T1,,
movie,NGSL,1000,T1,,
much,NGSL,1000,T1,,
music,NGSL,1000,T1,,
must,NGSL,1000,T1,,
myself,NGSL,1000,T1,,
name,NGSL,1000,T1,,
nation,NGSL,1000,T1,,
national,NGSL,1000,T1,,
natural,NGSL,1000,T1,,
nature,NGSL,1000,T1,,
near,NGSL,1000,T1,,
nearly,NGSL,1000,T1,,
necessary,NGSL,1000,T1,,
need,NGSL,1000,T1,,
network,NGSL,1000,T1,,
never,NGSL,1000,T1,,
new,NGSL,1000,T1,,
news,NGSL,1000,T1,,
newspaper,NGSL,1000,T1,,
next,NGSL,1000,T1,,
nice,NGSL,1000,T1,,
night,NGSL,1000,T1,,
no,NGSL,1000,T1,,
nor,NGSL,1000,T1,,
normal,NGSL,1000,T1,,
not,NGSL,1000,T1,,
note,NGSL,1000,T1,,
nothing,NGSL,1000,T1,,
notice,NGSL,1000,T1,,
now,NGSL,1000,T1,,
number,NGSL,1000,T1,,
object,NGSL,1000,T1,,
obviously,NGSL,1000,T1,,
occur,NGSL,1000,T1,,
of,NGSL,1000,T1,,
off,NGSL,1000,T1,,
offer,NGSL,1000,T1,,
office,NGSL,1000,T1,,
officer,NGSL,1000,T1,,
official,NGSL,1000,T1,,
often,NGSL,1000,T1,,
oil,NGSL,1000,T1,,
okay,NGSL,1000,T1,,
old,NGSL,1000,T1,,
on,NGSL,1000,T1,,
once,NGSL,1000,T1,,
one,NGSL,1000,T1,,
only,NGSL,1000,T1,,
open,NGSL,1000,T1,,
operate,NGSL,1000,T1,,
operation,NGSL,1000,T1,,
opinion,NGSL,1000,T1,,
opportunity,NGSL,1000,T1,,
option,NGSL,1000,T1,,
or,NGSL,1000,T1,,
order,NGSL,1000,T1,,
organization,NGSL,1000,T1,,
organize,NGSL,1000,T1,,
original,NGSL,1000,T1,,
other,NGSL,1000,T1,,
out,NGSL,1000,T1,,
outside,NGSL,1000,T1,,
over,NGSL,1000,T1,,
own,NGSL,1000,T1,,
page,NGSL,1000,T1,,
paint,NGSL,1000,T1,,
paper,NGSL,1000,T1,,
parent,NGSL,1000,T1,,
park,NGSL,1000,T1,,
part,NGSL,1000,T1,,
particular,NGSL,1000,T1,,
particularly,NGSL,1000,T1,,
party,NGSL,1000,T1,,
pass,NGSL,1000,T1,,
past,NGSL,1000,T1,,
patient,NGSL,1000,T1,,
pattern,NGSL,1000,T1,,
pause,NGSL,1000,T1,,
pay,NGSL,1000,T1,,
people,NGSL,1000,T1,,
per,NGSL,1000,T1,,
percent,NGSL,1000,T1,,
perform,NGSL,1000,T1,,
performance,NGSL,1000,T1,,
perhaps,NGSL,1000,T1,,
period,NGSL,1000,T1,,
person,NGSL,1000,T1,,
personal,NGSL,1000,T1,,
phone,NGSL,1000,T1,,
pick,NGSL,1000,T1,,
picture,NGSL,1000,T1,,
piece,NGSL,1000,T1,,
place,NGSL,1000,T1,,
plan,NGSL,1000,T1,,
plant,NGSL,1000,T1,,
play,NGSL,1000,T1,,
player,NGSL,1000,T1,,
please,NGSL,1000,T1,,
point,NGSL,1000,T1,,
police,NGSL,1000,T1,,
policy,NGSL,1000,T1,,
political,NGSL,1000,T1,,
poor,NGSL,1000,T1,,
popular,NGSL,1000,T1,,
population,NGSL,1000,T1,,
position,NGSL,1000,T1,,
positive,NGSL,1000,T1,,
possibility,NGSL,1000,T1,,
possible,NGSL,1000,T1,,
post,NGSL,1000,T1,,
potential,NGSL,1000,T1,,
pound,NGSL,1000,T1,,
power,NGSL,1000,T1,,
practice,NGSL,1000,T1,,
prefer,NGSL,1000,T1,,
prepare,NGSL,1000,T1,,
present,NGSL,1000,T1,,
president,NGSL,1000,T1,,
press,NGSL,1000,T1,,
pressure,NGSL,1000,T1,,
pretty,NGSL,1000,T1,,
previous,NGSL,1000,T1,,
price,NGSL,1000,T1,,
private,NGSL,1000,T1,,
probably,NGSL,1000,T1,,
problem,NGSL,1000,T1,,
process,NGSL,1000,T1,,
produce,NGSL,1000,T1,,
product,NGSL,1000,T1,,
production,NGSL,1000,T1,,
professional,NGSL,1000,T1,,
profit,NGSL,1000,T1,,
program,NGSL,1000,T1,,
project,NGSL,1000,T1,,
promise,NGSL,1000,T1,,
property,NGSL,1000,T1,,
proposal,NGSL,1000,T1,,
propose,NGSL,1000,T1,,
protect,NGSL,1000,T1,,
prove,NGSL,1000,T1,,
provide,NGSL,1000,T1,,
public,NGSL,1000,T1,,
pull,NGSL,1000,T1,,
purchase,NGSL,1000,T1,,
purpose,NGSL,1000,T1,,
push,NGSL,1000,T1,,
put,NGSL,1000,T1,,
quality,NGSL,1000,T1,,
quarter,NGSL,1000,T1,,
question,NGSL,1000,T1,,
quickly,NGSL,1000,T1,,
quite,NGSL,1000,T1,,
race,NGSL,1000,T1,,
raise,NGSL,1000,T1,,
range,NGSL,1000,T1,,
rate,NGSL,1000,T1,,
rather,NGSL,1000,T1,,
reach,NGSL,1000,T1,,
read,NGSL,1000,T1,,
ready,NGSL,1000,T1,,
real,NGSL,1000,T1,,
realize,NGSL,1000,T1,,
really,NGSL,1000,T1,,
reason,NGSL,1000,T1,,
receive,NGSL,1000,T1,,
recent,NGSL,1000,T1,,
recently,NGSL,1000,T1,,
recognize,NGSL,1000,T1,,
record,NGSL,1000,T1,,
red,NGSL,1000,T1,,
reduce,NGSL,1000,T1,,
refer,NGSL,1000,T1,,
reference,NGSL,1000,T1,,
reflect,NGSL,1000,T1,,
regard,NGSL,1000,T1,,
region,NGSL,1000,T1,,
relate,NGSL,1000,T1,,
relation,NGSL,1000,T1,,
relationship,NGSL,1000,T1,,
release,NGSL,1000,T1,,
remain,NGSL,1000,T1,,
remember,NGSL,1000,T1,,
replace,NGSL,1000,T1,,
report,NGSL,1000,T1,,
represent,NGSL,1000,T1,,
require,NGSL,1000,T1,,
research,NGSL,1000,T1,,
resource,NGSL,1000,T1,,
respect,NGSL,1000,T1,,
response,NGSL,1000,T1,,
responsibility,NGSL,1000,T1,,
rest,NGSL,1000,T1,,
restaurant,NGSL,1000,T1,,
result,NGSL,1000,T1,,
return,NGSL,1000,T1,,
review,NGSL,1000,T1,,
right,NGSL,1000,T1,,
ring,NGSL,1000,T1,,
rise,NGSL,1000,T1,,
risk,NGSL,1000,T1,,
road,NGSL,1000,T1,,
rock,NGSL,1000,T1,,
role,NGSL,1000,T1,,
room,NGSL,1000,T1,,
round,NGSL,1000,T1,,
rule,NGSL,1000,T1,,
run,NGSL,1000,T1,,
sale,NGSL,1000,T1,,
same,NGSL,1000,T1,,
save,NGSL,1000,T1,,
say,NGSL,1000,T1,,
school,NGSL,1000,T1,,
science,NGSL,1000,T1,,
score,NGSL,1000,T1,,
screen,NGSL,1000,T1,,
sea,NGSL,1000,T1,,
search,NGSL,1000,T1,,
season,NGSL,1000,T1,,
seat,NGSL,1000,T1,,
second,NGSL,1000,T1,,
section,NGSL,1000,T1,,
security,NGSL,1000,T1,,
see,NGSL,1000,T1,,
seek,NGSL,1000,T1,,
seem,NGSL,1000,T1,,
sell,NGSL,1000,T1,,
send,NGSL,1000,T1,,
sense,NGSL,1000,T1,,
separate,NGSL,1000,T1,,
series,NGSL,1000,T1,,
serious,NGSL,1000,T1,,
serve,NGSL,1000,T1,,
service,NGSL,1000,T1,,
set,NGSL,1000,T1,,
several,NGSL,1000,T1,,
shall,NGSL,1000,T1,,
shape,NGSL,1000,T1,,
share,NGSL,1000,T1,,
she,NGSL,1000,T1,,
shop,NGSL,1000,T1,,
short,NGSL,1000,T1,,
should,NGSL,1000,T1,,
show,NGSL,1000,T1,,
side,NGSL,1000,T1,,
sign,NGSL,1000,T1,,
significant,NGSL,1000,T1,,
similar,NGSL,1000,T1,,
simple,NGSL,1000,T1,,
simply,NGSL,1000,T1,,
since,NGSL,1000,T1,,
sing,NGSL,1000,T1,,
single,NGSL,1000,T1,,
sister,NGSL,1000,T1,,
sit,NGSL,1000,T1,,
site,NGSL,1000,T1,,
situation,NGSL,1000,T1,,
size,NGSL,1000,T1,,
skill,NGSL,1000,T1,,
sleep,NGSL,1000,T1,,
small,NGSL,1000,T1,,
smile,NGSL,1000,T1,,
so,NGSL,1000,T1,,
social,NGSL,1000,T1,,
society,NGSL,1000,T1,,
solution,NGSL,1000,T1,,
some,NGSL,1000,T1,,
somebody,NGSL,1000,T1,,
someone,NGSL,1000,T1,,
something,NGSL,1000,T1,,
sometimes,NGSL,1000,T1,,
son,NGSL,1000,T1,,
song,NGSL,1000,T1,,
soon,NGSL,1000,T1,,
sorry,NGSL,1000,T1,,
sort,NGSL,1000,T1,,
sound,NGSL,1000,T1,yes,?〈論理・判断などが〉適切な、思慮分別のある
source,NGSL,1000,T1,,
space,NGSL,1000,T1,,
speak,NGSL,1000,T1,,
special,NGSL,1000,T1,,
specific,NGSL,1000,T1,,
speech,NGSL,1000,T1,,
spend,NGSL,1000,T1,,
sport,NGSL,1000,T1,yes,［生物］突然変異を起こす
staff,NGSL,1000,T1,,
stage,NGSL,1000,T1,,
stand,NGSL,1000,T1,,
standard,NGSL,1000,T1,,
star,NGSL,1000,T1,,
start,NGSL,1000,T1,,
state,NGSL,1000,T1,,
statement,NGSL,1000,T1,,
station,NGSL,1000,T1,,
stay,NGSL,1000,T1,,
step,NGSL,1000,T1,,
still,NGSL,1000,T1,,
stock,NGSL,1000,T1,,
stop,NGSL,1000,T1,,
store,NGSL,1000,T1,,
story,NGSL,1000,T1,,
strategy,NGSL,1000,T1,,
street,NGSL,1000,T1,,
strike,NGSL,1000,T1,,
strong,NGSL,1000,T1,,
structure,NGSL,1000,T1,,
student,NGSL,1000,T1,,
study,NGSL,1000,T1,,
stuff,NGSL,1000,T1,,
style,NGSL,1000,T1,,
subject,NGSL,1000,T1,,
success,NGSL,1000,T1,,
successful,NGSL,1000,T1,,
such,NGSL,1000,T1,,
suddenly,NGSL,1000,T1,,
suffer,NGSL,1000,T1,,
suggest,NGSL,1000,T1,,
summer,NGSL,1000,T1,,
supply,NGSL,1000,T1,,
support,NGSL,1000,T1,,
suppose,NGSL,1000,T1,,
sure,NGSL,1000,T1,,
surprise,NGSL,1000,T1,,
system,NGSL,1000,T1,,
table,NGSL,1000,T1,,
take,NGSL,1000,T1,,
talk,NGSL,1000,T1,,
target,NGSL,1000,T1,,
task,NGSL,1000,T1,,
tax,NGSL,1000,T1,,
teach,NGSL,1000,T1,,
teacher,NGSL,1000,T1,,
team,NGSL,1000,T1,,
technology,NGSL,1000,T1,,
television,NGSL,1000,T1,,
tell,NGSL,1000,T1,,
tend,NGSL,1000,T1,,
term,NGSL,1000,T1,,
test,NGSL,1000,T1,,
than,NGSL,1000,T1,,
thank,NGSL,1000,T1,,
that,NGSL,1000,T1,,
